Country Name,Country Code,CapLat,CapLon,Marriage rate,GNI per capita(women),GNI per capita(men),Ratio male to female,enrollment_tertiary_male,enrollment_tertiary_female,2000,2005,2010,2015,2019,2000d,2005d,2010d,2015d,2019d,marriage_age_male,marriage_age_female,age_difference,employment ratio female,employment ratio male,employment ratio male-female
Austria,AUT,47.516231,14.550072,5.2,35626,55591,1.56,78.05110168,92.46150208,4.9,4.8,4.5,5.1,5.2,2.4,2.4,2.1,1.9,1.8,29.8,27.1,2.7,52.24,62.42,1.194869832
Belgium,BEL,50.503887,4.469936,3.9,33260,51302,1.542,69.28978729,90.46260834,4.4,4.1,3.9,4,3.9,2.6,2.9,2.7,2.2,2,28.6,26.3,2.3,44.51,54.9,1.23343069
Bulgaria,BGR,42.733883,25.48583,4.2,14777,22930,1.552,63.71405029,78.8241806,4.3,4.4,3.3,3.9,4.2,1.3,1.9,1.5,1.5,1.6,35.6,32.5,3.1,46.66,57.84,1.239605658
Czech Republic,CZE,49.817492,15.472962,5.1,23224,38206,1.645,53.38811874,75.2736969,5.4,5.1,4.5,4.6,5.1,2.9,3,2.9,2.5,2.3,34.6,32.3,2.3,50.67,67.15,1.32524176
Denmark,DNK,56.26392,9.501785,5.3,40293,55624,1.38,68.35646057,93.5774765,7.2,6.7,5.6,5.1,5.3,2.7,2.8,2.6,2.9,1.8,33.7,31.9,1.8,54,61.89,1.146111111
Estonia,EST,58.595272,25.013607,5,21896,37043,1.692,55.41608047,84.82447052,3.9,4.5,3.8,5.2,5,3,3,2.2,2.6,2.1,36.1,33.5,2.6,54.12,67.04,1.238728751
Finland,FIN,61.92411,25.748151,4,34504,47691,1.382,80.95852661,95.74749756,5.1,5.6,5.6,4.5,4,2.7,2.6,2.5,2.5,2.4,32.5,30.6,1.9,50.5,56.96,1.127920792
France,FRA,46.227638,2.213749,3.5,32518,46218,1.421,58.83111954,73.04025269,5,4.5,3.9,3.6,3.5,1.9,2.5,2.1,1.9,,33.7,32,1.7,45.9,54.63,1.190196078
Germany,DEU,51.165691,10.451526,5,37689,54843,1.455,69.81855011,70.70688629,5.1,4.7,4.7,4.9,5,2.4,2.4,2.3,2,1.8,34.8,32,2.8,53.17,63.55,1.19522287
Greece,GRC,39.074208,21.824312,4.4,19658,29796,1.516,136.2320099,136.9972382,4.5,5.5,5.1,5,4.4,1,1.2,1.2,1.4,,32.8,29.2,3.6,33.06,49.26,1.490018149
Hungary,HUN,47.162494,19.503304,6.7,19931,31413,1.576,43.3408699,53.91294861,4.7,4.4,3.6,4.7,6.7,2.3,2.5,2.4,2.1,1.8,35,32.9,2.1,46.04,62.82,1.364465682
Iceland,ISL,64.963051,-19.020835,4.7,38004,53562,1.409,50.60147095,94.4238205,6.3,5.4,4.9,,4.7,1.9,1.9,1.8,,,29.1,27.5,1.6,70.36,78.74,1.119101762
Ireland,IRL,53.41291,-8.24389,4.1,42771,64916,1.518,73.74134827,81.9967804,5,5.1,4.5,4.7,4.1,0.7,0.8,0.7,0.7,,34.4,32.4,2,52.29,63.97,1.223369669
Italy,ITA,41.87194,12.56738,3.1,25767,45326,1.759,53.02466965,71.51538086,5,4.3,3.7,3.2,3.1,0.7,0.8,0.9,1.4,1.4,35.2,32.1,3.1,35.64,53.11,1.490179574
Latvia,LVA,56.879635,24.603189,6.7,20822,29924,1.437,72.02320099,105.0589676,3.9,5.6,4.4,6.9,6.7,2.6,2.8,2.4,2.6,3.1,33.1,30.4,2.7,51.19,61.63,1.203946083
Lithuania,LTU,55.169438,23.881275,7,24366,32934,1.352,61.40159988,84.0010376,4.8,6,6,7.6,7,3.1,3.3,3.2,3.2,3.1,35.3,32.8,2.5,52.9,61.07,1.154442344
Luxembourg,LUX,49.815273,6.129583,3.5,51154,78737,1.539,18.21810913,20.14929962,4.9,4.4,3.5,3.6,3.5,2.4,2.2,2.1,2.4,3.1,32.4,30.5,1.9,50.91,59.91,1.176782557
Montenegro,MNE,42.708678,19.37439,5.7,12967,20692,1.596,50.90382004,66.11125183,,5.4,5.9,6.2,5.7,0.8,0.8,0.8,0.9,1.4,31.1,27.1,4,38.21,51.63,1.351216959
Netherlands,NLD,52.132633,5.291266,3.7,38767,57123,1.473,79.30307007,90.91986847,5.5,4.4,4.5,3.8,3.7,2.2,2,2,2,1.7,34.3,32.3,2,55.03,66.11,1.201344721
Norway,NOR,60.472024,8.468946,4,60153,75731,1.259,66.30628204,98.72164917,5,4.8,4.8,4.5,4,2.2,2.4,2.1,1.9,1.9,33.9,32,1.9,58.04,63.83,1.099758787
